KP,Easting,Northing,Time,Date,DCC,SD,Comments,Video,Anomaly,Bathy,DOB,ContactCP,ContinuousCP,CoverLocal,CoverMSB,Code1,Code2,Code3,Span,Exposure,Movement,WghtCt,Stab,SpanLength,SpanLengthOdom,SpanHeight,SpanDEI,Location,Offset,DimX,DimY,DimZ,Anomlink,VideoCount,UniqueID,Dummy3,Dummy4,DummyString
0.9480,310687.263,5949337.125,080000,26072025,0.000,,Nav Marker,,,,,-1249,-1029,-0.02,-0.14,0,0,0,0,0,,,,,,,,,,,,,,,,,,
0.9600,310698.356,5949341.766,080000,26072025,-0.470,,Nav Marker,,,,,-1255,-1027,0.05,0.13,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.9720,310709.811,5949345.385,080000,26072025,0.130,,Nav Marker,,,,,-1259,-1022,0.02,-0.31,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.9840,310720.963,5949349.572,080000,26072025,0.000,,Nav Marker,,,,,-1252,-1029,0.0,-0.08,0,0,0,0,1,,,,,,,,,,,,,,,,,,
0.9960,310732.160,5949353.637,080000,26072025,0.000,,Nav Marker,,,,,-1259,-1027,0.0,-0.83,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.0080,310743.357,5949357.701,080000,26072025,0.000,,Nav Marker,,,,,-1259,-1027,0.0,-0.5,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.0200,310755.056,5949360.038,080000,26072025,0.000,,Nav Marker,,,,,-1251,-1027,0.0,-0.55,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.0320,310766.800,5949362.217,080000,26072025,0.000,,Nav Marker,,,,,-1257,-1023,-0.0,-0.63,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1.0440,310778.759,5949366.096,080000,26072025,-2.530,,Nav Marker,,,,,-1261,-1028,0.04,-0.44,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.0560,310790.891,5949363.261,080000,26072025,0.000,,Nav Marker,,,,,-1259,-1028,0.0,0.05,0,0,0,0,0,,,,,,,,,,,,,,,,,,
1.0680,310803.060,5949362.890,080000,26072025,0.000,,Nav Marker,,,,,-1264,-1026,0.0,-0.04,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.0800,310815.030,5949362.834,080000,26072025,-1.030,,Nav Marker,,,,,-1268,-1028,0.1,0.29,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.0920,310826.877,5949361.416,080000,26072025,-0.690,,Nav Marker,,,,,-1265,-1028,0.14,-0.33,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.1040,310838.748,5949360.266,080000,26072025,-0.620,,Nav Marker,,,,,-1264,-1029,0.26,-0.32,0,0,0,0,1,,,,,,,,,,,,,,,,,,
1.1160,310850.577,5949359.621,080000,26072025,-0.520,,Nav Marker,,,,,-1265,-1024,0.3,-0.39,0,0,0,0,1,,,,,,,,,,,,,,,,,,
